,dtype,nunique_non_null,null_count,null_pct
terrace_area,float64,22,99923,99.92
has_garden,object,2,99800,99.8
terrace_count,float64,36,76236,76.24
build_year,float64,278,74984,74.98
has_passenger_lift,object,2,70922,70.92
floor,float64,32,65879,65.88
balcony_count,float64,13,61751,61.75
has_cellar,object,2,53617,53.62
site_area,float64,2843,45807,45.81
is_furnished,object,2,44074,44.07
area,float64,5330,1153,1.15
room_count,float64,23,780,0.78
item_subtype,object,11,48,0.05
zipcode,int64,4509,0,0.0
is_new_construction,bool,1,0,0.0
listing_id,int64,57004,0,0.0
city,object,10436,0,0.0
transaction_type,object,2,0,0.0
price,float64,13739,0,0.0
change_date,object,47465,0,0.0
start_date,object,5483,0,0.0
item_type,object,8,0,0.0
description_fr,object,47333,0,0.0
